block_id,n_events,n_distinct_events,warn_err_ratio,evt_0,evt_1,evt_2,evt_3,evt_4,evt_5,evt_6,evt_7,evt_8,evt_9,evt_10,label
blk_0003275196,6,6,0.0,0,1,1,1,1,0,1,1,0,0,0,0
blk_0015643086,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_0019748945,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_0022622707,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_0023112381,5,5,0.6,0,1,1,1,0,0,1,1,0,0,0,0
blk_0025075468,5,5,0.2,0,1,1,1,1,0,0,1,0,0,0,0
blk_0026250831,6,6,0.0,0,1,1,1,1,0,1,1,0,0,0,0
blk_0026845181,4,4,0.0,0,1,1,1,1,0,0,0,0,0,0,0
blk_0043259650,6,6,0.3333333333333333,0,1,1,1,1,0,1,1,0,0,0,0
blk_0044631396,5,5,0.2,0,1,1,1,0,0,1,1,0,0,0,0
blk_0048570172,4,4,0.25,0,1,0,1,0,0,1,1,0,0,0,0
blk_0057392541,4,4,0.25,0,1,1,1,1,0,0,0,0,0,0,0
blk_0057554389,4,4,0.5,0,1,1,1,0,0,1,0,0,0,0,0
blk_0061448917,4,4,0.25,0,1,0,0,1,0,1,1,0,0,0,0
blk_0095706806,4,4,0.25,0,0,1,1,1,0,0,1,0,0,0,0
blk_0097202614,4,4,0.0,0,1,0,0,1,0,1,1,0,0,0,0
blk_0097830719,5,5,0.0,0,1,1,1,1,0,1,0,0,0,0,0
blk_0103626873,5,5,0.2,0,1,1,1,1,0,0,1,0,0,0,0
blk_0106353822,4,4,0.25,0,1,1,0,1,0,1,0,0,0,0,0
blk_0108401182,4,4,0.5,0,1,1,1,0,0,0,1,0,0,0,0
blk_0118610412,6,6,0.3333333333333333,0,1,1,1,1,0,1,1,0,0,0,0
blk_0121290939,6,6,0.8333333333333334,0,1,1,1,1,0,1,1,0,0,0,0
blk_0123511284,4,4,0.75,0,1,0,0,1,0,1,1,0,0,0,0
blk_0130401828,4,4,0.5,0,1,0,0,1,0,1,1,0,0,0,0
blk_0130898391,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_0131044288,4,4,0.5,0,1,0,1,1,0,1,0,0,0,0,0
blk_0131215945,6,6,0.0,0,1,1,1,1,0,1,1,0,0,0,0
blk_0134945758,5,5,0.2,0,1,0,1,1,0,1,1,0,0,0,0
blk_0137800651,6,6,0.3333333333333333,0,1,1,1,1,0,1,1,0,0,0,0
blk_0140326034,5,5,0.2,0,1,1,0,1,0,1,1,0,0,0,0
blk_0144634234,5,5,0.4,0,1,1,1,1,0,0,1,0,0,0,0
blk_0146560415,6,6,0.5,0,1,1,1,1,0,1,1,0,0,0,0
blk_0148963470,5,5,0.0,0,1,1,1,1,0,0,1,0,0,0,0
blk_0161213596,6,6,0.0,0,1,1,1,1,0,1,1,0,0,0,0
blk_0169183877,5,5,0.8,0,1,0,1,1,0,1,1,0,0,0,0
blk_0170451092,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_0172838659,5,5,0.2,0,1,1,1,0,0,1,1,0,0,0,0
blk_0173620510,6,6,0.5,0,1,1,1,1,0,1,1,0,0,0,0
blk_0174020081,5,5,0.6,0,1,0,1,0,0,1,1,1,0,0,1
blk_0177730641,4,4,0.0,0,0,1,1,1,0,1,0,0,0,0,0
blk_0178035495,4,4,0.25,0,1,0,1,1,0,1,0,0,0,0,0
blk_0182283416,5,5,0.4,0,1,1,1,1,0,1,0,0,0,0,0
blk_0185440223,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_0189017115,4,4,0.25,0,0,1,1,0,0,1,1,0,0,0,0
blk_0197000449,4,4,0.0,0,1,1,1,1,0,0,0,0,0,0,0
blk_0205623176,5,5,0.4,0,1,0,1,1,0,1,1,0,0,0,0
blk_0211538670,6,6,0.5,0,1,1,1,1,0,1,1,0,0,0,0
blk_0212394304,5,5,0.6,0,1,1,0,0,0,0,1,1,1,0,1
blk_0216222369,5,5,0.2,0,1,1,0,1,0,1,1,0,0,0,0
blk_0218645410,5,5,0.4,0,1,1,1,0,0,1,1,0,0,0,0
blk_0221574920,4,4,0.25,0,1,0,1,1,0,1,0,0,0,0,0
blk_0221804909,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_0222881248,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
